<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.18	12:00:00	0.67028	0.67160	0.66920	0.67090	15772	10395950000	21
2015.12.18	16:00:00	0.67089	0.67514	0.67062	0.67364	19118	12866268000	21
2015.12.18	20:00:00	0.67364	0.67448	0.67240	0.67246	7471	3801500000	21
2015.12.21	00:00:00	0.67211	0.67413	0.67197	0.67382	7571	4193392000	21
2015.12.21	04:00:00	0.67381	0.67520	0.67350	0.67474	7985	3064850000	21
2015.12.21	08:00:00	0.67476	0.67697	0.67386	0.67401	11065	6597348000	21
2015.12.21	12:00:00	0.67402	0.67630	0.67399	0.67622	10403	5763599000	21
2015.12.21	16:00:00	0.67622	0.67791	0.67531	0.67692	16097	8435850000	21
2015.12.21	20:00:00	0.67687	0.67789	0.67592	0.67592	7460	6222350000	21
2015.12.22	00:00:00	0.67596	0.67904	0.67569	0.67890	13785	8522680000	0
2015.12.22	04:00:00	0.67888	0.68248	0.67840	0.68064	11555	5017870000	21
2015.12.22	08:00:00	0.68064	0.68352	0.68047	0.68225	13535	8587486000	21
2015.12.22	12:00:00	0.68225	0.68282	0.68118	0.68160	16483	10913697000	21
2015.12.22	16:00:00	0.68159	0.68207	0.68056	0.68124	16111	12217297000	21
2015.12.22	20:00:00	0.68122	0.68142	0.67987	0.68050	13050	8570499000	21
2015.12.23	00:00:00	0.68031	0.68160	0.67995	0.68124	16459	10450264000	0
2015.12.23	04:00:00	0.68121	0.68188	0.68068	0.68177	7872	3418850000	21
2015.12.23	08:00:00	0.68180	0.68281	0.67968	0.68029	13155	10035370000	21
2015.12.23	12:00:00	0.68029	0.68048	0.67607	0.67722	12585	8925690000	21
2015.12.23	16:00:00	0.67722	0.67891	0.67654	0.67853	16090	10705883000	21
2015.12.23	20:00:00	0.67856	0.68010	0.67802	0.67920	7086	4122500000	21
2015.12.24	00:00:00	0.67701	0.67969	0.67689	0.67961	5385	4058062000	0
2015.12.24	04:00:00	0.67958	0.68075	0.67950	0.68023	4669	2080600000	21
2015.12.24	08:00:00	0.68022	0.68233	0.67992	0.68143	9100	6114949000	21
2015.12.24	12:00:00	0.68144	0.68260	0.68130	0.68211	7647	3981940000	21
2015.12.24	16:00:00	0.68213	0.68409	0.68211	0.68357	6649	2928590000	21
2015.12.28	00:00:00	0.68287	0.68429	0.68233	0.68287	8587	3923385000	21
2015.12.28	04:00:00	0.68286	0.68426	0.68282	0.68370	4461	2304250000	21
2015.12.28	08:00:00	0.68372	0.68379	0.68265	0.68362	5369	3421650000	21
2015.12.28	12:00:00	0.68362	0.68472	0.68290	0.68394	6503	5053699000	21
2015.12.28	16:00:00	0.68394	0.68521	0.68352	0.68438	7969	5642644000	21
2015.12.28	20:00:00	0.68434	0.68515	0.68404	0.68441	4853	2040000000	21
2015.12.29	00:00:00	0.68446	0.68640	0.68375	0.68545	8503	4407094000	21
2015.12.29	04:00:00	0.68545	0.68705	0.68544	0.68675	6473	2990850000	21
2015.12.29	08:00:00	0.68675	0.68802	0.68627	0.68666	9439	6671650000	21
2015.12.29	12:00:00	0.68666	0.68794	0.68570	0.68699	8702	5802549000	21
2015.12.29	16:00:00	0.68701	0.68821	0.68624	0.68740	12764	8742350000	21
2015.12.29	20:00:00	0.68731	0.68782	0.68669	0.68674	6080	2987598000	21
2015.12.30	00:00:00	0.68664	0.68712	0.68465	0.68547	6716	2906000000	0
2015.12.30	04:00:00	0.68548	0.68614	0.68513	0.68518	9261	5868150000	21
2015.12.30	08:00:00	0.68519	0.68702	0.68371	0.68557	11050	5341348000	21
2015.12.30	12:00:00	0.68556	0.68592	0.68356	0.68462	15045	9746490000	21
2015.12.30	16:00:00	0.68463	0.68531	0.68294	0.68342	15220	7388150000	21
2015.12.30	20:00:00	0.68339	0.68470	0.68291	0.68375	9529	5246250000	18
2015.12.31	00:00:00	0.68378	0.68477	0.68313	0.68412	13475	6957671000	0
2015.12.31	04:00:00	0.68413	0.68519	0.68412	0.68458	7251	5074600000	21
2015.12.31	08:00:00	0.68459	0.68662	0.68446	0.68592	10263	5190500000	21
2015.12.31	12:00:00	0.68592	0.68605	0.68340	0.68449	10979	5237849000	21
2015.12.31	16:00:00	0.68450	0.68617	0.68301	0.68400	9434	6491850000	0
2015.12.31	20:00:00	0.68380	0.68387	0.68343	0.68380	88	89650000	28
2016.01.04	00:00:00	0.68278	0.68343	0.67552	0.67653	13060	6985618000	21
2016.01.04	04:00:00	0.67651	0.67692	0.67443	0.67515	11468	6728967000	21
2016.01.04	08:00:00	0.67516	0.67729	0.67448	0.67643	17378	10455798000	21
2016.01.04	12:00:00	0.67644	0.67748	0.67347	0.67420	14443	7939629000	21
2016.01.04	16:00:00	0.67420	0.67637	0.67183	0.67432	19168	12903680000	21
2016.01.04	20:00:00	0.67431	0.67511	0.67377	0.67491	11428	6352200000	21
2016.01.05	00:00:00	0.67475	0.67567	0.67396	0.67552	14253	5694650000	0
2016.01.05	04:00:00	0.67555	0.67561	0.67275	0.67345	10602	7210000000	21
2016.01.05	08:00:00	0.67346	0.67425	0.66973	0.66994	17011	11566232000	21
2016.01.05	12:00:00	0.66994	0.67279	0.66937	0.67205	15243	9673500000	21
2016.01.05	16:00:00	0.67205	0.67212	0.66758	0.66941	18470	13395941000	0
2016.01.05	20:00:00	0.66941	0.67073	0.66889	0.67028	10778	8263700000	16
2016.01.06	00:00:00	0.67016	0.67072	0.66416	0.66461	12648	7167750000	18
2016.01.06	04:00:00	0.66460	0.66590	0.66318	0.66489	12656	5876200000	21
2016.01.06	08:00:00	0.66490	0.66607	0.66252	0.66465	22295	13378925000	21
2016.01.06	12:00:00	0.66468	0.66536	0.66266	0.66430	22549	15883800000	21
2016.01.06	16:00:00	0.66430	0.66542	0.66249	0.66314	24088	11445350000	21
2016.01.06	20:00:00	0.66314	0.66489	0.66256	0.66366	16213	10670597000	17
2016.01.07	00:00:00	0.66377	0.66540	0.66127	0.66160	18165	10630323000	16
2016.01.07	04:00:00	0.66161	0.66445	0.66143	0.66431	11788	4942661000	21
2016.01.07	08:00:00	0.66431	0.66657	0.66224	0.66360	21938	15642345000	21
2016.01.07	12:00:00	0.66359	0.66458	0.65896	0.66132	23746	12832850000	21
2016.01.07	16:00:00	0.66132	0.66529	0.66099	0.66465	25386	14697150000	21
2016.01.07	20:00:00	0.66458	0.66490	0.66157	0.66231	16898	14046499000	16
2016.01.08	00:00:00	0.66231	0.66779	0.66140	0.66485	20168	9360211000	21
2016.01.08	04:00:00	0.66486	0.66618	0.66388	0.66457	14984	4259798000	21
2016.01.08	08:00:00	0.66458	0.66635	0.66236	0.66262	17425	10948500000	21
2016.01.08	12:00:00	0.66261	0.66263	0.65649	0.65896	21848	14124890000	21
2016.01.08	16:00:00	0.65893	0.65972	0.65410	0.65600	27249	25958100000	21
2016.01.08	20:00:00	0.65600	0.65639	0.65392	0.65427	11928	7451997000	21
2016.01.11	00:00:00	0.65179	0.65408	0.65084	0.65300	8197	5624743000	0
2016.01.11	04:00:00	0.65300	0.65370	0.65200	0.65293	8937	5611276000	0
2016.01.11	08:00:00	0.65293	0.65789	0.65255	0.65733	20116	10556939000	21
2016.01.11	12:00:00	0.65733	0.65767	0.65357	0.65646	22440	14270649000	21
2016.01.11	16:00:00	0.65645	0.65701	0.65405	0.65453	22600	15313000000	21
2016.01.11	20:00:00	0.65452	0.65622	0.65369	0.65573	14316	11482098000	16
2016.01.12	00:00:00	0.65555	0.65658	0.65426	0.65608	13148	8479100000	21
2016.01.12	04:00:00	0.65611	0.65676	0.65502	0.65567	11608	5452400000	21
2016.01.12	08:00:00	0.65567	0.65591	0.65197	0.65481	17540	11058606000	21
2016.01.12	12:00:00	0.65481	0.65538	0.65299	0.65461	18875	13710800000	21
2016.01.12	16:00:00	0.65458	0.65552	0.65141	0.65308	22793	17909700000	21
2016.01.12	20:00:00	0.65312	0.65411	0.65273	0.65322	17714	14177750000	0
2016.01.13	00:00:00	0.65308	0.65691	0.65285	0.65676	15791	11344498000	21
2016.01.13	04:00:00	0.65676	0.65899	0.65575	0.65680	11404	6162032000	21
2016.01.13	08:00:00	0.65680	0.65782	0.65515	0.65640	17695	14010599000	21
2016.01.13	12:00:00	0.65639	0.65674	0.65429	0.65591	15531	11668258000	21
2016.01.13	16:00:00	0.65591	0.65691	0.65437	0.65506	23201	15931888000	21
2016.01.13	20:00:00	0.65505	0.65526	0.65101	0.65107	15676	13168597000	16
2016.01.14	00:00:00	0.65133	0.65145	0.64650	0.64870	16244	8960527000	21
2016.01.14	04:00:00	0.64872	0.64943	0.64732	0.64875	10661	6240800000	21
2016.01.14	08:00:00	0.64875	0.65069	0.64502	0.64720	21616	15477181000	21
2016.01.14	12:00:00	0.64720	0.64721	0.64179	0.64533	23555	15705642000	21
2016.01.14	16:00:00	0.64533	0.64741	0.64289	0.64708	28583	18473901000	21
2016.01.14	20:00:00	0.64704	0.64875	0.64690	0.64710	13050	9953499000	16
2016.01.15	00:00:00	0.64681	0.64904	0.64534	0.64619	14145	7487658000	20
2016.01.15	04:00:00	0.64619	0.64631	0.64235	0.64400	13873	8512000000	21
2016.01.15	08:00:00	0.64401	0.64414	0.63930	0.64058	25085	15317286000	21
2016.01.15	12:00:00	0.64066	0.64121	0.63803	0.64083	22258	15637625000	21
2016.01.15	16:00:00	0.64085	0.64494	0.64020	0.64319	27775	19058846000	21
2016.01.15	20:00:00	0.64319	0.64716	0.64299	0.64612	13557	10359450000	21
2016.01.18	00:00:00	0.64007	0.64684	0.64007	0.64622	14619	8071000000	0
2016.01.18	04:00:00	0.64622	0.64781	0.64495	0.64646	17713	9449998000	21
2016.01.18	08:00:00	0.64646	0.64788	0.64525	0.64560	22771	13732927000	21
2016.01.18	12:00:00	0.64563	0.64705	0.64441	0.64478	18522	13362500000	21
2016.01.18	16:00:00	0.64477	0.64571	0.64383	0.64412	12090	8536891000	21
2016.01.18	20:00:00	0.64420	0.64518	0.64373	0.64489	14373	14317715000	21
2016.01.19	00:00:00	0.64497	0.64681	0.64423	0.64433	16891	8829340000	21
2016.01.19	04:00:00	0.64433	0.64572	0.64147	0.64570	15483	7934088000	21
2016.01.19	08:00:00	0.64570	0.64795	0.64493	0.64767	21227	13311589000	21
2016.01.19	12:00:00	0.64767	0.65126	0.64741	0.64809	24790	19914859000	21
2016.01.19	16:00:00	0.64809	0.64933	0.64689	0.64879	26788	18600420000	21
2016.01.19	20:00:00	0.64881	0.64964	0.64009	0.64076	19071	13451083000	21
2016.01.20	00:00:00	0.64038	0.64154	0.63654	0.63703	15866	8794289000	0
2016.01.20	04:00:00	0.63704	0.63892	0.63670	0.63835	15382	7891435000	17
2016.01.20	08:00:00	0.63836	0.63850	0.63462	0.63727	24786	18559514000	21
2016.01.20	12:00:00	0.63727	0.63849	0.63546	0.63808	20630	15678796000	21
2016.01.20	16:00:00	0.63809	0.63990	0.63632	0.63941	27914	25722951000	21
2016.01.20	20:00:00	0.63943	0.64363	0.63916	0.64284	20934	19385525000	21
2016.01.21	00:00:00	0.64246	0.64751	0.64246	0.64597	15556	10447564000	21
2016.01.21	04:00:00	0.64598	0.64626	0.64220	0.64274	17328	12218815000	21
2016.01.21	08:00:00	0.64274	0.64403	0.64101	0.64239	22568	16707234000	21
2016.01.21	12:00:00	0.64238	0.64463	0.64157	0.64433	21568	17681609000	21
