<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.04.23	1268.39	1278.05	1260.00	1267.99	384823	221213102	7
2017.04.30	1268.56	1271.15	1225.68	1227.56	344007	209557437	24
2017.05.07	1224.98	1236.50	1214.23	1228.48	324631	194271447	24
2017.05.14	1229.93	1265.00	1226.90	1255.33	419883	251692664	24
2017.05.21	1255.04	1269.39	1247.85	1266.94	358260	210041829	24
2017.05.28	1267.29	1279.40	1258.93	1278.56	279124	154509694	24
2017.06.04	1279.53	1296.01	1264.57	1266.60	339290	199914107	24
2017.06.11	1266.50	1280.85	1251.36	1253.38	356527	206368154	24
2017.06.18	1253.34	1258.80	1240.78	1256.61	300317	171318037	24
2017.06.25	1257.36	1258.03	1236.01	1241.43	376271	214763007	24
2017.07.02	1242.12	1242.63	1207.26	1212.20	328667	193985819	24
2017.07.09	1213.48	1232.77	1204.81	1228.81	304644	181303693	24
2017.07.16	1229.55	1255.63	1228.19	1254.70	317476	163813633	24
2017.07.23	1255.30	1270.76	1243.69	1268.91	414047	193469454	24
2017.07.30	1270.54	1274.04	1254.12	1258.73	346943	155163939	24
2017.08.06	1257.14	1291.93	1251.44	1290.41	392123	170303625	24
2017.08.13	1289.31	1300.74	1267.23	1284.62	411116	196059250	24
2017.08.20	1282.99	1294.52	1276.37	1291.47	348978	175640536	24
2017.08.27	1292.48	1328.76	1291.78	1324.59	441137	237620863	24
2017.09.03	1335.18	1357.42	1326.22	1346.48	450108	224146244	24
2017.09.10	1338.93	1339.96	1315.60	1320.29	462419	160947723	0
2017.09.17	1318.33	1319.59	1288.08	1296.89	371965	190579627	24
2017.09.24	1295.97	1313.56	1275.92	1279.37	393468	192042031	24
2017.10.01	1278.95	1282.12	1260.54	1276.17	304079	149351815	24
2017.10.08	1275.91	1303.64	1275.16	1303.30	461964	640689365	24
2017.10.15	1303.33	1305.91	1276.45	1280.11	800231	1816464303	26
2017.10.22	1277.23	1283.51	1263.62	1273.43	861624	2086603967	26
2017.10.29	1273.28	1283.96	1265.37	1270.03	780492	1939812380	27
2017.11.05	1269.42	1288.31	1265.98	1275.60	849319	3517258870	28
2017.11.12	1274.95	1296.77	1269.80	1294.11	848266	3397120440	29
2017.11.19	1293.14	1294.62	1274.46	1288.27	711067	2848188820	29
2017.11.26	1288.10	1299.08	1270.22	1279.88	897134	541255867	28
2017.12.03	1273.95	1277.02	1243.60	1248.04	843630	342451830	29
2017.12.10	1247.73	1261.72	1236.37	1255.33	722419	296364688	29
2017.12.17	1254.14	1276.02	1252.62	1275.28	603229	226296704	28
2017.12.24	1278.14	1307.41	1276.92	1302.54	380762	118634483	29
2017.12.31	1309.81	1325.84	1305.70	1319.90	534111	216012196	29
2018.01.07	1320.69	1339.21	1307.96	1338.17	787227	318465163	29
2018.01.14	1336.05	1344.60	1324.14	1331.43	846671	336862790	0
2018.01.21	1335.05	1365.92	1328.27	1350.00	968097	368386018	15
2018.01.28	1351.03	1352.39	1327.43	1332.57	1043391	412669243	5
2018.02.04	1331.64	1346.08	1307.04	1315.64	1442105	553165115	12
2018.02.11	1315.38	1361.69	1315.13	1347.43	836956	0	14
2018.02.18	1349.69	1351.34	1320.93	1328.78	655946	0	0
2018.02.25	1329.83	1341.00	1302.76	1322.12	791029	0	14
2018.03.04	1323.71	1340.37	1312.83	1323.36	934433	0	14
2018.03.11	1322.86	1330.01	1309.60	1313.47	667742	0	14
2018.03.18	1313.14	1350.20	1307.17	1347.51	737543	0	14
2018.03.25	1348.15	1356.84	1321.21	1325.04	600011	0	14
2018.04.01	1325.80	1348.22	1319.50	1332.69	814965	0	14
2018.04.08	1333.49	1365.20	1326.85	1345.07	838708	0	14
2018.04.15	1342.69	1355.67	1334.94	1335.44	737110	0	14
2018.04.22	1334.69	1335.43	1315.26	1322.91	687282	0	14
2018.04.29	1322.78	1324.88	1301.74	1314.60	705724	0	14
2018.05.06	1314.89	1325.90	1304.28	1317.93	698328	0	14
2018.05.13	1318.11	1322.29	1284.93	1292.48	679355	0	14
2018.05.20	1291.52	1307.75	1282.00	1300.52	710472	0	14
2018.05.27	1299.41	1306.57	1289.34	1293.27	792477	0	10
2018.06.03	1293.04	1303.09	1289.69	1298.60	544703	0	14
2018.06.10	1299.10	1309.28	1275.33	1280.19	540386	0	10
2018.06.17	1279.13	1283.99	1261.29	1269.21	483403	0	14
2018.06.24	1271.37	1272.56	1245.84	1252.74	514782	0	14
2018.07.01	1252.73	1261.07	1237.82	1254.56	440258	0	12
2018.07.08	1255.25	1265.84	1236.30	1241.06	497018	0	14
2018.07.15	1241.27	1245.51	1211.45	1231.59	496765	0	12
2018.07.22	1230.39	1235.18	1217.51	1222.81	526505	0	14
2018.07.29	1223.34	1228.53	1204.40	1213.14	450984	0	10
2018.08.05	1213.61	1217.85	1205.70	1211.38	429979	0	13
2018.08.12	1212.51	1213.80	1160.07	1184.17	387991	0	14
2018.08.19	1183.46	1208.49	1182.60	1205.88	324565	0	15
2018.08.26	1207.20	1214.21	1196.17	1200.78	307606	0	11
2018.09.02	1200.68	1206.95	1189.56	1195.83	369264	0	15
2018.09.09	1196.35	1212.60	1187.66	1193.43	341008	0	15
2018.09.16	1193.67	1211.03	1191.78	1199.10	351376	0	13
2018.09.23	1198.88	1204.12	1180.66	1191.51	321681	0	15
2018.09.30	1191.89	1208.25	1184.51	1202.75	326891	0	15
2018.10.07	1203.18	1226.30	1183.16	1217.76	306294	0	13
2018.10.14	1217.78	1233.22	1217.74	1226.38	296327	0	12
2018.10.21	1228.00	1243.36	1219.97	1233.53	310104	0	15
2018.10.28	1232.96	1237.33	1211.93	1232.75	316113	0	12
2018.11.04	1233.14	1236.43	1206.65	1209.32	310763	0	10
2018.11.11	1209.41	1225.23	1196.21	1221.20	315120	0	12
2018.11.18	1221.94	1230.03	1217.97	1222.51	246433	0	12
2018.11.25	1223.38	1228.91	1211.15	1221.96	262194	0	15
2018.12.02	1222.91	1249.98	1221.25	1248.41	294598	0	14
2018.12.09	1250.40	1250.49	1232.89	1238.00	331897	0	15
