<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.06	10.18	10.48	9.90	9.90	510	109691	0
2024.08.07	10.30	10.67	9.51	9.63	476	128161	0
2024.08.08	10.00	10.28	9.60	10.25	283	82023	0
2024.08.09	10.28	10.50	10.01	10.26	203	44021	0
2024.08.12	10.27	10.35	10.11	10.25	157	31557	0
2024.08.13	10.27	10.45	10.12	10.35	206	50862	0
2024.08.14	10.44	10.58	9.90	10.00	228	61469	0
2024.08.15	10.08	11.49	10.04	10.89	637	155086	0
2024.08.16	11.03	11.95	11.01	11.38	622	142108	0
2024.08.19	11.76	13.80	11.75	13.15	1277	362794	0
2024.08.20	13.78	14.15	12.40	12.96	920	257391	0
2024.08.21	12.93	13.50	12.55	13.05	885	194914	0
2024.08.22	13.20	13.40	12.42	12.50	489	107988	0
2024.08.23	13.05	13.05	12.32	12.48	408	137252	0
2024.08.26	12.82	13.40	12.60	12.70	494	120650	0
2024.08.27	12.70	13.24	12.65	12.99	328	64694	0
2024.08.28	12.96	13.09	11.86	12.45	669	150433	0
2024.08.29	12.50	12.90	12.40	12.60	341	89652	0
2024.08.30	12.68	13.15	12.60	12.98	359	88671	0
2024.09.03	12.60	12.86	11.55	11.55	652	154690	0
2024.09.04	11.25	11.97	11.25	11.47	247	45625	0
2024.09.05	11.21	11.43	10.60	10.95	380	101942	0
2024.09.06	11.17	11.58	10.12	10.22	651	132456	0
2024.09.09	10.68	11.03	10.52	10.80	233	61905	0
2024.09.10	11.25	11.45	11.03	11.28	227	59611	0
2024.09.11	11.34	11.80	10.91	11.64	280	77191	0
2024.09.12	11.71	11.95	11.60	11.65	291	75988	0
2024.09.13	11.96	11.97	11.58	11.82	207	41351	0
2024.09.16	11.87	11.92	11.27	11.40	263	64227	0
2024.09.17	11.65	11.83	11.33	11.53	365	76905	0
2024.09.18	11.53	11.96	11.38	11.86	302	57135	0
2024.09.19	12.14	12.27	11.63	11.72	250	58747	0
2024.09.20	11.82	11.94	11.10	11.13	303	69823	0
2024.09.23	11.20	11.34	10.76	10.78	309	65235	0
2024.09.24	10.90	10.90	10.39	10.44	793	174702	0
2024.09.25	10.55	10.69	10.20	10.30	372	98201	0
2024.09.26	10.54	10.69	10.26	10.30	408	111581	0
2024.09.27	10.34	10.62	10.06	10.15	556	144861	0
2024.09.30	10.14	10.19	9.86	9.94	576	143474	0
2024.10.01	9.98	9.98	9.63	9.88	423	117921	0
2024.10.02	9.82	10.18	9.75	9.97	410	119455	0
2024.10.03	10.12	10.88	10.12	10.29	712	205922	0
2024.10.04	10.56	10.74	9.91	10.07	505	127993	0
2024.10.07	10.01	10.06	9.76	9.94	344	69085	0
2024.10.08	9.95	10.05	9.81	9.92	278	80058	0
2024.10.09	10.00	10.23	9.86	9.91	276	68861	0
2024.10.10	9.99	10.05	9.86	9.90	179	52541	0
2024.10.11	9.91	10.03	9.86	9.98	269	88039	0
2024.10.14	11.46	13.43	10.80	12.01	4589	1277304	0
2024.10.15	12.65	13.50	11.15	11.96	2813	739063	0
2024.10.16	12.00	12.03	11.03	11.33	827	221910	0
2024.10.17	11.65	11.65	10.89	10.93	525	133156	0
2024.10.18	10.94	12.00	10.94	11.74	757	227833	0
2024.10.21	11.78	12.33	11.24	11.36	535	138604	0
2024.10.22	11.42	11.85	11.33	11.57	364	101843	0
2024.10.23	11.50	11.72	11.11	11.16	386	80133	0
2024.10.24	11.35	11.99	11.35	11.58	536	146061	0
2024.10.25	11.75	12.08	11.66	11.96	581	149178	0
2024.10.28	11.70	11.85	11.60	11.85	363	92961	0
2024.10.29	11.50	11.60	11.25	11.54	260	93699	0
