<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.07	00:00:00	1.46263	1.46390	1.46215	1.46312	16358	13678282000	0
2016.01.07	04:00:00	1.46311	1.46398	1.46253	1.46326	15724	15782732000	11
2016.01.07	08:00:00	1.46327	1.46331	1.45596	1.45764	35111	32328372000	11
2016.01.07	12:00:00	1.45766	1.45871	1.45327	1.45635	36058	33407501000	11
2016.01.07	16:00:00	1.45634	1.46013	1.45550	1.45862	36101	34148130000	11
2016.01.07	20:00:00	1.45862	1.46237	1.45861	1.46150	15762	14487904000	11
2016.01.08	00:00:00	1.46135	1.46384	1.46078	1.46243	18486	12782985000	11
2016.01.08	04:00:00	1.46248	1.46444	1.46125	1.46125	13101	11364418000	11
2016.01.08	08:00:00	1.46125	1.46298	1.46032	1.46192	29038	28149941000	11
2016.01.08	12:00:00	1.46193	1.46246	1.45473	1.45669	34583	32072598000	11
2016.01.08	16:00:00	1.45668	1.45861	1.45056	1.45167	42251	38249009000	11
2016.01.08	20:00:00	1.45168	1.45319	1.45116	1.45156	14633	12597810000	11
2016.01.11	00:00:00	1.45144	1.45569	1.44909	1.45252	9282	5598036000	2
2016.01.11	04:00:00	1.45240	1.45314	1.45148	1.45308	7922	5277201000	2
2016.01.11	08:00:00	1.45308	1.45823	1.45206	1.45650	26401	24220986000	11
2016.01.11	12:00:00	1.45650	1.46040	1.45526	1.45862	28277	27336847000	11
2016.01.11	16:00:00	1.45862	1.45912	1.45249	1.45599	32006	31963578000	11
2016.01.11	20:00:00	1.45599	1.45611	1.45319	1.45395	15220	16986610000	11
2016.01.12	00:00:00	1.45393	1.45599	1.45314	1.45357	14357	10106647000	0
2016.01.12	04:00:00	1.45362	1.45410	1.45161	1.45261	12592	9888876000	11
2016.01.12	08:00:00	1.45260	1.45368	1.44820	1.44878	28680	28022194000	11
2016.01.12	12:00:00	1.44878	1.44901	1.44138	1.44287	34233	35831406000	11
2016.01.12	16:00:00	1.44288	1.44375	1.43516	1.44263	34891	32967137000	11
2016.01.12	20:00:00	1.44264	1.44513	1.44213	1.44456	14486	15474855000	0
2016.01.13	00:00:00	1.44456	1.44716	1.44248	1.44644	16425	12410685000	11
2016.01.13	04:00:00	1.44646	1.44755	1.44512	1.44577	16284	12977624000	11
2016.01.13	08:00:00	1.44577	1.44741	1.44181	1.44639	28443	28053518000	11
2016.01.13	12:00:00	1.44638	1.44646	1.43796	1.44163	29673	29882942000	11
2016.01.13	16:00:00	1.44164	1.44687	1.44081	1.44580	33512	32331227000	11
2016.01.13	20:00:00	1.44580	1.44592	1.44008	1.44051	17894	17785873000	11
2016.01.14	00:00:00	1.44044	1.44256	1.43892	1.43985	16590	13197696000	11
2016.01.14	04:00:00	1.43984	1.44071	1.43940	1.43989	12032	11042369000	11
2016.01.14	08:00:00	1.43988	1.44236	1.43723	1.43749	30087	26068056000	11
2016.01.14	12:00:00	1.43748	1.44366	1.43596	1.43996	37520	34474999000	11
2016.01.14	16:00:00	1.43997	1.44447	1.43818	1.44133	35404	35906350000	11
2016.01.14	20:00:00	1.44134	1.44180	1.44034	1.44090	14451	14314596000	11
2016.01.15	00:00:00	1.44102	1.44272	1.44046	1.44130	12988	11000117000	11
2016.01.15	04:00:00	1.44130	1.44162	1.43984	1.44035	11751	11360228000	11
2016.01.15	08:00:00	1.44036	1.44093	1.43373	1.43708	31099	28597673000	11
2016.01.15	12:00:00	1.43708	1.43731	1.43247	1.43447	30682	30114577000	11
2016.01.15	16:00:00	1.43447	1.43628	1.42645	1.42761	37082	33897381000	11
2016.01.15	20:00:00	1.42761	1.42849	1.42511	1.42543	18133	19142147000	11
2016.01.18	00:00:00	1.42472	1.42731	1.42452	1.42696	16632	14077144000	11
2016.01.18	04:00:00	1.42696	1.42837	1.42626	1.42734	13742	11590026000	11
2016.01.18	08:00:00	1.42735	1.43227	1.42474	1.42940	33065	28538010000	11
2016.01.18	12:00:00	1.42939	1.43085	1.42687	1.42822	31116	31002081000	11
2016.01.18	16:00:00	1.42821	1.42951	1.42597	1.42614	22768	25231605000	11
2016.01.18	20:00:00	1.42613	1.42623	1.42365	1.42414	8050	8178040000	11
2016.01.19	00:00:00	1.42416	1.42624	1.42400	1.42538	14015	11536431000	11
2016.01.19	04:00:00	1.42538	1.42708	1.42376	1.42692	15244	11208047000	11
2016.01.19	08:00:00	1.42694	1.43396	1.42671	1.43122	31453	29264449000	11
2016.01.19	12:00:00	1.43131	1.43214	1.42062	1.42184	35836	36952632000	11
2016.01.19	16:00:00	1.42184	1.42264	1.41287	1.41838	39413	41013726000	11
2016.01.19	20:00:00	1.41840	1.41970	1.41551	1.41557	16346	16862324000	11
2016.01.20	00:00:00	1.41520	1.41789	1.41367	1.41501	13698	11541144000	11
2016.01.20	04:00:00	1.41501	1.41582	1.41327	1.41479	15036	11928007000	11
2016.01.20	08:00:00	1.41479	1.41839	1.41248	1.41834	34263	32945875000	11
2016.01.20	12:00:00	1.41834	1.41962	1.41300	1.41768	35788	40997861000	11
2016.01.20	16:00:00	1.41767	1.42186	1.41514	1.41823	36955	40094726000	11
2016.01.20	20:00:00	1.41828	1.41954	1.41506	1.41897	19747	21662877000	11
2016.01.21	00:00:00	1.41868	1.42033	1.41743	1.41872	14207	10416977000	0
2016.01.21	04:00:00	1.41872	1.41906	1.41676	1.41869	18363	14380923000	11
2016.01.21	08:00:00	1.41868	1.41945	1.41524	1.41811	32455	32623092000	11
2016.01.21	12:00:00	1.41810	1.41828	1.40790	1.41019	40917	43837971000	11
2016.01.21	16:00:00	1.41019	1.42278	1.40804	1.42066	40006	41645777000	11
2016.01.21	20:00:00	1.42066	1.42485	1.41965	1.42198	21118	21795373000	11
2016.01.22	00:00:00	1.42173	1.42308	1.42079	1.42130	15631	12689071000	4
2016.01.22	04:00:00	1.42129	1.42251	1.42041	1.42236	15514	12725482000	11
2016.01.22	08:00:00	1.42236	1.43053	1.42155	1.42811	34055	31613643000	11
2016.01.22	12:00:00	1.42811	1.43384	1.42492	1.43277	36408	38017239000	11
2016.01.22	16:00:00	1.43277	1.43620	1.42760	1.42938	32445	34296347000	11
2016.01.22	20:00:00	1.42940	1.43068	1.42575	1.42645	14293	14399563000	11
2016.01.25	00:00:00	1.42604	1.42874	1.42521	1.42830	11435	13127758000	11
2016.01.25	04:00:00	1.42829	1.43092	1.42829	1.42954	16129	11638093000	11
2016.01.25	08:00:00	1.42954	1.43081	1.42332	1.42579	29812	28382982000	11
2016.01.25	12:00:00	1.42579	1.42760	1.42232	1.42490	31304	34554089000	11
2016.01.25	16:00:00	1.42490	1.42862	1.42301	1.42434	36412	40233573000	11
2016.01.25	20:00:00	1.42436	1.42639	1.42367	1.42467	11292	13009058000	0
2016.01.26	00:00:00	1.42467	1.42518	1.42057	1.42273	15133	11075576000	0
2016.01.26	04:00:00	1.42273	1.42415	1.42235	1.42237	13069	10893609000	11
2016.01.26	08:00:00	1.42236	1.42248	1.41727	1.42112	33048	33952961000	11
2016.01.26	12:00:00	1.42112	1.42663	1.41831	1.42533	35291	37493979000	11
2016.01.26	16:00:00	1.42533	1.43666	1.42395	1.43502	35963	38352446000	11
2016.01.26	20:00:00	1.43501	1.43629	1.43411	1.43487	13311	13818941000	0
2016.01.27	00:00:00	1.43477	1.43539	1.43297	1.43382	11905	11273578000	11
2016.01.27	04:00:00	1.43383	1.43501	1.43363	1.43440	13475	12489993000	11
