<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.09	16:00:00	14.95	15.20	13.50	13.77	1077	320088	0
2024.05.09	20:00:00	13.75	14.00	13.62	13.87	332	91244	0
2024.05.10	16:00:00	14.10	14.71	14.10	14.43	869	253124	0
2024.05.10	20:00:00	14.42	14.60	14.27	14.42	311	100127	0
2024.05.13	16:00:00	15.15	17.80	15.10	17.46	2275	619083	0
2024.05.13	20:00:00	17.40	17.40	15.56	16.04	2602	832603	0
2024.05.14	16:00:00	17.40	18.17	16.70	17.54	1832	530797	0
2024.05.14	20:00:00	17.56	17.65	16.71	16.88	481	138144	0
2024.05.15	16:00:00	17.37	17.51	16.07	16.63	894	177299	0
2024.05.15	20:00:00	16.63	17.05	16.50	16.65	279	64340	0
2024.05.16	16:00:00	17.07	17.15	15.70	15.94	881	227611	0
2024.05.16	20:00:00	15.99	16.24	14.77	15.36	714	192152	0
2024.05.17	16:00:00	14.99	15.24	14.40	14.92	662	156176	0
2024.05.17	20:00:00	14.82	15.07	14.56	14.80	284	56556	0
2024.05.20	16:00:00	15.03	15.60	14.81	15.26	374	99480	0
2024.05.20	20:00:00	15.24	15.50	14.80	15.19	454	153125	0
2024.05.21	16:00:00	15.05	15.25	14.50	15.09	675	169458	0
2024.05.21	20:00:00	15.06	15.30	14.77	15.08	290	91492	0
2024.05.22	16:00:00	15.00	15.09	14.52	14.59	335	92980	0
2024.05.22	20:00:00	14.52	14.65	13.68	13.77	646	177452	0
2024.05.23	16:00:00	14.39	14.45	13.33	14.20	619	150776	0
2024.05.23	20:00:00	14.15	14.19	13.75	13.97	210	41077	0
2024.05.24	16:00:00	14.21	15.45	14.20	15.15	1515	472359	0
2024.05.24	20:00:00	15.15	15.75	14.82	15.00	866	197245	0
2024.05.28	16:00:00	14.97	15.95	14.60	15.61	1011	262941	0
2024.05.28	20:00:00	15.65	15.72	15.11	15.25	367	75811	0
2024.05.29	16:00:00	15.00	15.45	14.95	15.41	257	62170	0
2024.05.29	20:00:00	15.41	15.51	15.25	15.51	184	37035	0
2024.05.30	16:00:00	15.45	15.77	15.09	15.77	324	88931	0
