<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.05	12:00:00	1.07116	1.07226	1.06764	1.07159	19323	0	0
2025.03.05	16:00:00	1.07155	1.07879	1.07138	1.07850	26356	0	0
2025.03.05	20:00:00	1.07851	1.07969	1.07638	1.07880	11250	0	2
2025.03.06	00:00:00	1.07878	1.08201	1.07857	1.08153	6729	0	2
2025.03.06	04:00:00	1.08155	1.08189	1.07839	1.08101	9129	0	2
2025.03.06	08:00:00	1.08107	1.08223	1.07803	1.07997	21187	0	1
2025.03.06	12:00:00	1.07997	1.08455	1.07827	1.08263	19692	0	0
2025.03.06	16:00:00	1.08264	1.08541	1.07913	1.07968	26199	0	0
2025.03.06	20:00:00	1.07968	1.08116	1.07655	1.07802	12069	0	2
2025.03.07	00:00:00	1.07795	1.07961	1.07758	1.07902	6281	0	2
2025.03.07	04:00:00	1.07903	1.08176	1.07846	1.08131	6911	0	2
2025.03.07	08:00:00	1.08131	1.08716	1.08079	1.08613	15329	0	1
2025.03.07	12:00:00	1.08613	1.08887	1.08411	1.08445	18875	0	0
2025.03.07	16:00:00	1.08449	1.08868	1.08319	1.08434	23763	0	0
2025.03.07	20:00:00	1.08432	1.08506	1.08256	1.08325	8848	0	2
2025.03.10	00:00:00	1.08373	1.08709	1.08367	1.08531	8638	0	0
2025.03.10	04:00:00	1.08530	1.08559	1.08277	1.08352	6953	0	2
2025.03.10	08:00:00	1.08352	1.08568	1.08050	1.08514	16928	0	1
2025.03.10	12:00:00	1.08513	1.08745	1.08124	1.08352	18857	0	0
2025.03.10	16:00:00	1.08353	1.08482	1.08209	1.08296	15299	0	0
2025.03.10	20:00:00	1.08295	1.08363	1.08174	1.08344	7234	0	2
2025.03.11	00:00:00	1.08342	1.08584	1.08326	1.08579	6792	0	0
2025.03.11	04:00:00	1.08578	1.08617	1.08355	1.08384	7622	0	2
2025.03.11	08:00:00	1.08385	1.09208	1.08365	1.09086	19261	0	1
