<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.07.18	1233.94	1244.51	1232.75	1242.03	68233	36279691	24
2017.07.19	1242.79	1243.95	1235.84	1241.13	56719	30288459	24
2017.07.20	1241.05	1247.50	1235.23	1244.62	71926	35636777	24
2017.07.21	1244.22	1255.63	1243.33	1254.70	68626	33071778	24
2017.07.24	1255.30	1258.74	1251.86	1255.31	62675	28987569	24
2017.07.25	1254.62	1257.68	1249.05	1249.71	70347	32709896	24
2017.07.26	1249.71	1263.46	1243.69	1260.84	91151	46065706	24
2017.07.27	1260.10	1265.17	1254.44	1258.42	102405	46227813	24
2017.07.28	1259.16	1270.76	1257.29	1268.91	87469	39478470	24
2017.07.31	1270.54	1271.04	1265.70	1269.37	61954	30279087	24
2017.08.01	1269.47	1274.04	1262.57	1268.92	75766	31193615	24
2017.08.02	1268.61	1272.75	1262.79	1266.18	67133	31734289	24
2017.08.03	1266.13	1270.75	1256.77	1268.85	72462	31712576	24
2017.08.04	1268.41	1270.10	1254.12	1258.73	69628	30244372	24
2017.08.07	1257.14	1259.82	1255.69	1257.67	56774	27172125	24
2017.08.08	1257.07	1265.12	1251.44	1260.74	70930	32639596	24
2017.08.09	1260.91	1278.64	1260.71	1277.39	92934	39629040	24
2017.08.10	1277.32	1287.76	1274.57	1286.25	86767	35558128	24
2017.08.11	1286.13	1291.93	1281.23	1290.41	84718	35304736	24
2017.08.14	1289.31	1289.43	1278.54	1281.30	71753	34013161	24
2017.08.15	1280.97	1281.87	1267.23	1271.52	69919	34911683	24
2017.08.16	1271.35	1283.75	1267.70	1283.08	73242	38202507	24
2017.08.17	1283.65	1290.08	1281.74	1287.74	93880	41922344	24
2017.08.18	1288.59	1300.74	1283.40	1284.62	102322	47009555	24
2017.08.21	1282.99	1293.68	1280.51	1291.59	69793	34362130	24
2017.08.22	1290.75	1292.49	1281.90	1284.96	64648	32611110	24
2017.08.23	1284.55	1291.42	1282.72	1290.44	63985	31886129	24
2017.08.24	1290.36	1291.10	1284.40	1286.15	69416	32380507	24
2017.08.25	1286.06	1294.52	1276.37	1291.47	81136	44400660	24
2017.08.28	1292.48	1312.03	1291.78	1309.61	68351	35559013	24
2017.08.29	1314.13	1325.94	1304.97	1309.48	117617	63843863	24
2017.08.30	1310.24	1313.68	1305.11	1308.15	81145	44015436	24
2017.08.31	1308.40	1323.53	1298.78	1321.41	87456	46854743	24
2017.09.01	1321.85	1328.76	1316.35	1324.59	86568	47347808	24
2017.09.04	1335.18	1339.72	1331.73	1333.96	57399	29405006	24
2017.09.05	1333.49	1344.25	1326.22	1339.95	103529	52809623	24
2017.09.06	1339.61	1342.39	1331.55	1334.01	87303	39694360	24
2017.09.07	1334.05	1349.78	1332.48	1349.31	100395	49105499	24
2017.09.08	1348.58	1357.42	1342.71	1346.48	101482	53131756	24
2017.09.11	1338.93	1339.96	1326.34	1327.25	82571	41941127	0
2017.09.12	1327.45	1331.80	1322.52	1331.26	123378	8335652	3
2017.09.13	1333.21	1334.59	1320.77	1323.00	89613	28407088	24
2017.09.14	1323.07	1330.55	1315.60	1329.56	82761	40559635	24
2017.09.15	1330.58	1334.24	1319.49	1320.29	84096	41704221	24
2017.09.18	1318.33	1319.59	1304.56	1307.19	68214	35157956	24
2017.09.19	1307.67	1311.60	1305.06	1310.90	69038	34622608	24
2017.09.20	1310.63	1315.94	1295.91	1300.08	83133	42348656	24
2017.09.21	1301.41	1301.61	1288.08	1291.22	82325	42260006	24
2017.09.22	1291.63	1298.61	1291.20	1296.89	69255	36190401	24
2017.09.25	1295.97	1311.88	1289.64	1310.28	89776	44722035	24
2017.09.26	1309.55	1313.56	1292.06	1293.80	80101	37642909	24
2017.09.27	1293.26	1296.14	1281.40	1282.16	78717	39618451	24
2017.09.28	1283.22	1288.71	1277.65	1286.98	74155	36498122	24
2017.09.29	1286.63	1290.25	1275.92	1279.37	70719	33560514	24
2017.10.02	1278.95	1279.12	1269.52	1270.95	64725	32722539	24
2017.10.03	1270.67	1274.68	1268.22	1271.54	54823	27535735	24
2017.10.04	1271.44	1282.12	1270.44	1274.64	58351	27481414	24
2017.10.05	1274.97	1278.92	1266.09	1267.57	53983	24446148	24
2017.10.06	1268.72	1276.24	1260.54	1276.17	72197	37165979	24
2017.10.09	1275.91	1285.36	1275.16	1283.94	60064	27024697	24
2017.10.10	1283.73	1294.13	1282.02	1287.92	71848	30796818	24
2017.10.11	1287.85	1293.42	1284.49	1291.32	70881	30764076	24
2017.10.12	1291.53	1297.39	1289.52	1293.27	105473	183622901	24
2017.10.13	1293.66	1303.64	1290.82	1303.30	153698	368480873	31
2017.10.16	1303.33	1305.91	1290.31	1294.57	144870	355016308	27
