<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.11	40.98	44.97	38.50	40.37	6779	1418238	0
2025.05.18	41.99	47.73	39.17	46.72	4726	1056934	1
2025.05.25	49.09	50.50	40.60	42.36	4809	998462	1
2025.06.01	42.46	44.50	34.58	39.68	6861	1485315	1
2025.06.08	38.93	43.59	38.00	39.43	4227	915303	1
2025.06.15	40.48	40.79	37.04	37.05	2345	475990	1
2025.06.22	37.37	41.39	37.10	38.67	3290	701076	1
2025.06.29	38.96	39.08	35.70	36.35	3290	638553	1
2025.07.06	35.29	40.48	34.72	39.10	3566	848309	1
2025.07.13	38.74	39.88	31.50	31.90	10047	2150678	1
2025.07.20	32.82	33.83	31.50	32.87	4465	861439	1
2025.07.27	33.05	33.18	28.23	28.50	2552	618452	1
2025.08.10	29.28	29.35	28.08	28.58	1627	538230	1
2025.08.17	28.48	29.65	26.35	28.46	5352	1376119	1
2025.08.24	28.53	30.25	27.00	27.33	4951	1039158	1
2025.08.31	26.50	27.54	25.53	25.81	3498	695904	1
2025.09.07	26.42	26.99	25.55	26.02	3303	845461	1
2025.09.14	27.31	27.95	25.80	26.13	4317	1119537	1
2025.09.21	26.51	27.88	23.90	24.00	3916	1019915	1
2025.09.28	24.37	32.93	21.02	29.25	16057	4410062	1
2025.10.05	30.21	30.21	25.10	25.17	5736	1503771	1
2025.10.12	26.21	28.54	24.58	25.92	6006	1566456	1
2025.10.19	26.70	26.79	23.00	24.78	2695	680394	1
2025.10.26	25.41	28.54	23.72	28.43	4055	993955	1
2025.11.02	28.39	28.50	23.40	24.95	3853	949384	1
2025.11.09	25.44	25.46	21.82	22.23	2776	737541	1
2025.11.16	22.83	23.05	19.71	20.78	3320	779023	1
2025.11.23	21.70	22.60	20.87	22.44	2551	581682	1
2025.11.30	22.51	27.94	22.18	26.24	8718	2268129	1
2025.12.07	28.72	40.98	26.80	37.94	34961	8788154	1
2025.12.14	39.44	39.88	28.60	31.14	27445	7289147	1
2025.12.21	33.51	33.59	30.07	30.91	9010	2124332	1
2025.12.28	30.75	32.98	30.01	30.87	8775	2518734	1
