<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.08.21	0.75993	0.76916	0.75506	0.75538	524174	602676868000	0
2016.08.28	0.75571	0.76153	0.74896	0.75518	532584	558774998000	0
2016.09.04	0.75684	0.77316	0.75358	0.75358	546105	525896415000	0
2016.09.11	0.75362	0.75676	0.74416	0.74904	665049	685772392000	0
2016.09.18	0.74804	0.76743	0.74750	0.76021	561260	612447440000	0
2016.09.25	0.76119	0.77096	0.75893	0.76558	607932	705313754000	0
2016.10.02	0.76528	0.76903	0.75527	0.75839	612471	628841693000	0
2016.10.09	0.76007	0.76471	0.75058	0.76112	599079	634270922000	0
2016.10.16	0.76152	0.77340	0.75808	0.76053	522464	537613529000	0
2016.10.23	0.76063	0.77086	0.75573	0.75884	559215	548730099000	0
2016.10.30	0.75967	0.76967	0.75826	0.76707	629348	636980465000	0
2016.11.06	0.76732	0.77777	0.75247	0.75309	893477	835070012000	0
2016.11.13	0.75425	0.75807	0.73166	0.73166	873524	863083760000	0
2016.11.20	0.73290	0.74677	0.73105	0.74243	754637	704105930000	0
2016.11.27	0.74414	0.74969	0.73695	0.74489	693494	637506253000	0
2016.12.04	0.74484	0.75074	0.74115	0.74278	545661	414827594000	0
2016.12.11	0.74352	0.75243	0.72657	0.72839	630746	409816125000	0
2016.12.18	0.72807	0.73124	0.71558	0.71558	460205	352296259000	0
2016.12.25	0.71908	0.72464	0.70326	0.71800	366154	293357755000	0
2017.01.01	0.72064	0.73564	0.71639	0.72956	607215	524266335000	0
2017.01.08	0.72906	0.75180	0.72870	0.74808	711670	630279817000	0
2017.01.15	0.74816	0.75881	0.74577	0.75359	719019	622447720000	0
2017.01.22	0.75528	0.76087	0.75109	0.75443	664367	572619226000	0
2017.01.29	0.75548	0.76956	0.75275	0.76619	608460	555471419000	0
2017.02.05	0.76434	0.76883	0.76051	0.76659	548996	500117714000	0
2017.02.12	0.76766	0.77316	0.76175	0.76452	533268	493655404000	0
2017.02.19	0.76717	0.77404	0.76491	0.76634	442236	428327642000	0
